ticker,method,bs_avg_smape
AAPL,Simple Average (50/50),27.04381834653207
ALB,Simple Average (50/50),1.9221660594898455
AMP,Simple Average (50/50),35.60728876207769
AMTM,Simple Average (50/50),100.0
AMZN,Simple Average (50/50),39.14122369541418
AVGO,Simple Average (50/50),42.7944413322772
BK,Simple Average (50/50),5.065833156978552
BRO,Simple Average (50/50),0.9649771289361542
BXP,Simple Average (50/50),29.4890227196262
CAH,Simple Average (50/50),0.38822872280128984
CBOE,Simple Average (50/50),2.0822786099946407
CNC,Simple Average (50/50),0.5331127991857282
DOV,Simple Average (50/50),12.422020501669511
DOW,Simple Average (50/50),1.1185395248340628
DTE,Simple Average (50/50),0.9783768566778287
ECL,Simple Average (50/50),3.014176227212192
EQT,Simple Average (50/50),53.53685823580244
ETR,Simple Average (50/50),3.6042962545699204
FTNT,Simple Average (50/50),100.0
GL,Simple Average (50/50),3.1249450332872475
HBAN,Simple Average (50/50),0.5180508551403983
HIG,Simple Average (50/50),2.5227472440271237
HRL,Simple Average (50/50),0.9486522707277881
LYV,Simple Average (50/50),88.40744560948643
MET,Simple Average (50/50),10.465391262971078
MMM,Simple Average (50/50),100.0
MRNA,Simple Average (50/50),6.372849362002423
MS,Simple Average (50/50),10.999603507107057
MTCH,Simple Average (50/50),100.0
MU,Simple Average (50/50),5.2877309832431045
NSC,Simple Average (50/50),4.4315069203629065
PANW,Simple Average (50/50),22.536337741950565
PEG,Simple Average (50/50),2.6765378688046177
PEP,Simple Average (50/50),2.9853328346897863
PG,Simple Average (50/50),2.2857638611416102
PGR,Simple Average (50/50),41.145078123147165
PM,Simple Average (50/50),1.0929797478073984
PNC,Simple Average (50/50),33.82264350434601
PSX,Simple Average (50/50),6.469519524169207
REGN,Simple Average (50/50),34.31106507829032
RVTY,Simple Average (50/50),4.944032643763863
SMCI,Simple Average (50/50),28.422949327528034
SW,Simple Average (50/50),44.68013473165909
SYF,Simple Average (50/50),37.982689747003995
TPR,Simple Average (50/50),8.771464765418804
TRV,Simple Average (50/50),31.260599208592424
TTWO,Simple Average (50/50),24.103644274414087
UNH,Simple Average (50/50),28.366432046364142
V,Simple Average (50/50),30.059983716331853
VLTO,Simple Average (50/50),28.43205880688721
AAPL,"Weighted (30% Gemini, 70% Traditional)",31.87894902560849
ALB,"Weighted (30% Gemini, 70% Traditional)",3.548687757596763
AMP,"Weighted (30% Gemini, 70% Traditional)",55.65314477112021
AMTM,"Weighted (30% Gemini, 70% Traditional)",100.0
AMZN,"Weighted (30% Gemini, 70% Traditional)",58.42423369471882
AVGO,"Weighted (30% Gemini, 70% Traditional)",42.087648777210035
BK,"Weighted (30% Gemini, 70% Traditional)",7.350298619210029
BRO,"Weighted (30% Gemini, 70% Traditional)",1.8740896883425842
BXP,"Weighted (30% Gemini, 70% Traditional)",50.74776754440782
CAH,"Weighted (30% Gemini, 70% Traditional)",5.151052202447479
CBOE,"Weighted (30% Gemini, 70% Traditional)",2.6950430139887493
CNC,"Weighted (30% Gemini, 70% Traditional)",0.1624376941399847
DOV,"Weighted (30% Gemini, 70% Traditional)",12.406618822975771
DOW,"Weighted (30% Gemini, 70% Traditional)",0.21685757288613863
DTE,"Weighted (30% Gemini, 70% Traditional)",2.3041549510747057
ECL,"Weighted (30% Gemini, 70% Traditional)",4.1002345985390445
EQT,"Weighted (30% Gemini, 70% Traditional)",40.48235507716511
ETR,"Weighted (30% Gemini, 70% Traditional)",7.102272472370336
FTNT,"Weighted (30% Gemini, 70% Traditional)",100.0
GL,"Weighted (30% Gemini, 70% Traditional)",3.7131114788310997
HBAN,"Weighted (30% Gemini, 70% Traditional)",1.8598487143797455
HIG,"Weighted (30% Gemini, 70% Traditional)",3.7112540514387238
HRL,"Weighted (30% Gemini, 70% Traditional)",1.1819837717253452
LYV,"Weighted (30% Gemini, 70% Traditional)",91.58016486860481
MET,"Weighted (30% Gemini, 70% Traditional)",6.311360159479723
MMM,"Weighted (30% Gemini, 70% Traditional)",100.0
MRNA,"Weighted (30% Gemini, 70% Traditional)",7.774850960240648
MS,"Weighted (30% Gemini, 70% Traditional)",13.95347367326022
MTCH,"Weighted (30% Gemini, 70% Traditional)",100.0
MU,"Weighted (30% Gemini, 70% Traditional)",8.742529900786712
NSC,"Weighted (30% Gemini, 70% Traditional)",3.6178363927529578
PANW,"Weighted (30% Gemini, 70% Traditional)",17.316775703011675
PEG,"Weighted (30% Gemini, 70% Traditional)",0.7817423404920766
