company,metric,mean,cv,null_count,consistent
Alibaba_2024,net_income,71332.0,0.0,0,True
EM_2024,net_income,36010.0,0.0,0,True
GM_2023,net_income,10040.9,0.013098,0,True
Google_2024,net_income,100118.0,0.0,0,True
JPM_2024,net_income,58471.0,0.0,0,True
LVMH_2024,net_income,12550.0,0.0,0,True
Meta_2024,net_income,62360.0,0.0,0,True
Tencent_2024,net_income,196467.0,0.0,0,True
Volkswagan_2024,net_income,12394.0,0.0,0,True
Alibaba_2024,cost_to_income_ratio,17.9407,1.904798,0,False
EM_2024,cost_to_income_ratio,9.2302,2.724761,0,False
GM_2023,cost_to_income_ratio,38.4036,1.194578,0,False
Google_2024,cost_to_income_ratio,7.4,2.724771,0,False
JPM_2024,cost_to_income_ratio,20.9882,1.194578,0,False
LVMH_2024,cost_to_income_ratio,28.0935,1.232217,0,False
Meta_2024,cost_to_income_ratio,6.3024,2.724771,0,False
Tencent_2024,cost_to_income_ratio,5.2346,2.666222,0,False
Volkswagan_2024,cost_to_income_ratio,49.3612,0.801934,0,False
Alibaba_2024,quick_ratio,1.6562,0.122783,0,False
EM_2024,quick_ratio,1.0653,8.4e-05,0,True
GM_2023,quick_ratio,0.7257,0.228682,0,False
Google_2024,quick_ratio,1.6604,0.00017,0,True
JPM_2024,quick_ratio,1.8687,0.876935,1,False
LVMH_2024,quick_ratio,0.6363,0.154713,0,False
Meta_2024,quick_ratio,2.8215,0.000355,0,True
Tencent_2024,quick_ratio,3.793,0.0,9,False
Volkswagan_2024,quick_ratio,,,10,False
Alibaba_2024,debt_to_equity_ratio,0.1673,0.048534,0,True
EM_2024,debt_to_equity_ratio,0.1964,0.011253,0,True
GM_2023,debt_to_equity_ratio,1.8927,0.000925,0,True
Google_2024,debt_to_equity_ratio,0.0331,0.031674,0,True
JPM_2024,debt_to_equity_ratio,2.1431,1.09458,0,False
LVMH_2024,debt_to_equity_ratio,0.4338,0.291075,0,False
Meta_2024,debt_to_equity_ratio,0.158,0.004177,0,True
Tencent_2024,debt_to_equity_ratio,0.2833,0.033386,0,True
Volkswagan_2024,debt_to_equity_ratio,,,10,False
Alibaba_2024,debt_to_assets_ratio,0.0972,0.009716,0,True
EM_2024,debt_to_assets_ratio,0.1106,0.001357,0,True
GM_2023,debt_to_assets_ratio,9.2731,1.903727,0,False
Google_2024,debt_to_assets_ratio,0.0238,0.052986,0,False
JPM_2024,debt_to_assets_ratio,2.3004,1.830013,0,False
LVMH_2024,debt_to_assets_ratio,0.2008,0.294715,0,False
Meta_2024,debt_to_assets_ratio,0.104,0.012697,0,True
Tencent_2024,debt_to_assets_ratio,0.1606,0.038033,0,True
Volkswagan_2024,debt_to_assets_ratio,0.317,0.0,9,False
Alibaba_2024,debt_to_capital_ratio,0.1439,0.044537,0,True
EM_2024,debt_to_capital_ratio,0.1641,0.009268,0,True
GM_2023,debt_to_capital_ratio,13.611,1.903938,0,False
Google_2024,debt_to_capital_ratio,0.0322,0.022388,0,True
JPM_2024,debt_to_capital_ratio,11.5618,1.893517,0,False
LVMH_2024,debt_to_capital_ratio,0.2977,0.199673,0,False
Meta_2024,debt_to_capital_ratio,0.1367,0.008122,0,True
Tencent_2024,debt_to_capital_ratio,0.2209,0.025934,0,True
Volkswagan_2024,debt_to_capital_ratio,,,10,False
Alibaba_2024,debt_to_ebitda_ratio,1.206,0.037525,7,False
EM_2024,debt_to_ebitda_ratio,0.5639,0.008835,0,True
GM_2023,debt_to_ebitda_ratio,13.0922,0.0,9,False
Google_2024,debt_to_ebitda_ratio,,,10,False
JPM_2024,debt_to_ebitda_ratio,2.355,0.031847,8,False
LVMH_2024,debt_to_ebitda_ratio,,,10,False
Meta_2024,debt_to_ebitda_ratio,0.4155,0.0,9,False
Tencent_2024,debt_to_ebitda_ratio,,,10,False
Volkswagan_2024,debt_to_ebitda_ratio,,,10,False
Alibaba_2024,interest_coverage_ratio,14.5647,0.058636,1,False
EM_2024,interest_coverage_ratio,65.2431,0.113928,0,False
GM_2023,interest_coverage_ratio,6.7702,0.731719,0,False
Google_2024,interest_coverage_ratio,,,10,False
JPM_2024,interest_coverage_ratio,1.4315,0.342699,1,False
LVMH_2024,interest_coverage_ratio,20.261,0.059375,0,False
Meta_2024,interest_coverage_ratio,54.7443,0.008627,7,False
Tencent_2024,interest_coverage_ratio,17.6358,0.030241,0,True
Volkswagan_2024,interest_coverage_ratio,5.8437,0.068309,0,False
